Country Name,Country Code,Year,Exports of goods and services (% of GDP),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
Burundi,BDI,2015,,2810532912.499755,-0.4045255952041913,254.4025852267877,5.544688912597794
Burundi,BDI,2016,,2618093125.146873,3.200174704089932,232.9378121001527,5.55768961400965
Burundi,BDI,2017,,2831362208.340392,3.831857570617842,246.0607257141837,16.05253530303918
Burundi,BDI,2018,,2913411408.447833,5.342244731864085,245.6616783320092,-2.81469807668465
Burundi,BDI,2019,,2871555326.310291,4.459342023587837,234.31061590724977,-0.6867721707973587
Burundi,BDI,2020,,3188355943.635125,0.3064438116517181,252.70245275000605,7.321106434155209
Burundi,BDI,2021,,3425127990.705195,3.237074793729249,264.1728440853984,8.404538450763408
Burundi,BDI,2022,,4020736756.6425576,2.317701223508223,301.83225575510465,18.80087866649446
Burundi,BDI,2023,,3419558408.3540807,3.25476897326196,249.79516403902863,26.94148357624534
Burundi,BDI,2024,,3037579858.381424,4.112273763949119,216.23192853175752,20.2124925027847
Burundi,BDI,2025,,3364713864.08488,4.240105298841783,233.8230133853954,34.13399857448319
Kenya,KEN,2015,15.128733903450408,70120446896.8359,4.96772112759767,1489.1195977728398,6.582154292847786
Kenya,KEN,2016,13.249744800675897,74815144163.89308,4.213517068147439,1554.1261031442327,6.297249538146249
Kenya,KEN,2017,12.736659941372537,82036510877.25989,3.837958173647209,1667.4844723083545,8.005649677099447
Kenya,KEN,2018,12.541975333358955,92202979985.2863,5.647946407092192,1836.4527552899292,4.689806467763299
Kenya,KEN,2019,11.427995686933242,100378436207.37134,5.114158857678007,1960.408088548926,5.239637957647923
Kenya,KEN,2020,11.441045182159334,100657505750.545,-0.2727663274388163,1927.6645902784887,5.40516207933392
Kenya,KEN,2021,13.109738201821768,109703658904.99371,7.590489473334671,2061.3562208959406,6.107936036591763
Kenya,KEN,2022,15.957028362946918,114448978152.6374,4.859981042879994,2109.562885131375,7.659862682722239
Kenya,KEN,2023,16.713344299872087,107500884685.01266,5.719992412142076,1942.5880275619108,7.671396340294023
Kenya,KEN,2024,16.854954890851847,120397537849.82584,4.660195945718911,2133.461934040263,4.489788542434479
Kenya,KEN,2025,15.764067782570695,135941278878.81458,4.632610938449844,2362.860911986112,4.069128785407293
Nigeria,NGA,2015,,493026682800.6295,2.652693295417791,2585.733606717974,9.009434980077064
Nigeria,NGA,2016,,404649125252.1596,-1.616868949034668,2070.412733959496,15.69681263879722
Nigeria,NGA,2017,,375745731053.4268,0.8058866190915808,1876.3402711177296,16.50226621396411
Nigeria,NGA,2018,,421739251509.0796,1.922757341997979,2057.8794455401057,12.09510651734316
